ts,equity,cash
2026-08-06T14:16:13,100007.53,71071.38
2026-08-06T14:19:13,100041.64,71071.38
2026-08-06T14:22:14,100033.88,71071.38
2026-08-06T14:25:14,100021.52,71071.38
2026-08-06T14:28:16,99986.4,75915.67
2026-08-06T14:31:16,99953.88,70963.88
2026-08-06T14:34:17,100089.91,70963.88
2026-08-06T14:37:18,100072.93,75967.88
2026-08-06T14:40:18,99948.99,71123.88
2026-08-06T14:43:19,99967.37,75904.25
2026-08-06T14:46:19,99982.53,70922.05
2026-08-06T14:49:20,100016.99,75993.57
2026-08-06T14:52:20,100044.91,71051.84
2026-08-06T14:55:21,100071.81,71051.84
2026-08-06T14:58:21,100099.41,71051.84
2026-08-06T15:01:21,100076.67,71051.84
2026-08-06T15:04:22,100025.41,75930.46
2026-08-06T15:07:22,100164.26,70990.18
2026-08-06T15:10:23,100211.71,70990.18
2026-08-06T15:13:24,100183.9,76018.58
2026-08-06T15:16:25,100154.25,71124.15
2026-08-06T15:19:25,100033.99,71124.15
2026-08-06T15:22:26,100014.85,80620.57
2026-08-06T15:25:26,99977.22,70645.63
2026-08-06T15:28:26,100017.01,70645.63
2026-08-06T15:31:27,100041.33,70645.63
2026-08-06T15:34:27,99927.95,70645.63
2026-08-06T15:37:28,99916.74,75570.43
2026-08-06T15:40:29,99907.86,70578.18
2026-08-06T15:43:29,99922.77,70578.18
2026-08-06T15:46:30,99914.82,70578.18
2026-08-06T15:49:30,99901.61,70578.18
2026-08-06T15:52:31,99880.41,75508.23
2026-08-06T15:55:32,99898.11,70556.33
2026-08-06T15:58:32,99895.07,70556.33
2026-08-06T16:01:33,99917.17,70556.33
2026-08-06T16:04:34,99904.8,80503.3
2026-08-06T16:07:34,99864.43,75488.14
2026-08-06T16:10:36,99880.98,75651.61
2026-08-06T16:13:37,99913.79,70705.15
2026-08-06T16:16:37,99958.68,70705.15
2026-08-06T16:19:38,99958.3,75734.87
2026-08-06T16:22:39,99994.03,70758.35
2026-08-06T16:25:39,99997.49,70758.35
2026-08-06T16:28:39,100011.6,70758.35
2026-08-06T16:31:40,99988.23,70758.35
2026-08-06T16:34:40,100001.62,70758.35
2026-08-06T16:37:40,99959.39,70758.35
2026-08-06T16:40:40,99945.54,70758.35
2026-08-06T16:43:41,99930.91,70758.35
2026-08-06T16:46:41,99965.03,70758.35
2026-08-06T16:49:41,99928.9,70758.35
2026-08-06T16:52:42,99929.89,70758.35
2026-08-06T16:55:42,99921.77,75670.62
2026-08-06T16:58:42,99950.89,70775.7
2026-08-06T17:01:43,100018.74,70775.7
2026-08-06T17:04:44,99987.11,75733.7
2026-08-06T17:07:45,99984.39,70774.4
2026-08-06T17:10:45,99992.33,70774.4
2026-08-06T17:13:45,99993.54,70774.4
2026-08-06T17:16:46,99958.64,70774.4
2026-08-06T17:19:46,99975.01,70774.4
2026-08-06T17:22:46,99956.18,70774.4
2026-08-06T17:25:46,99948.16,70774.4
2026-08-06T17:28:46,99953.56,70774.4
2026-08-06T17:31:47,99934.26,70774.4
2026-08-06T17:34:47,99910.75,70774.4
2026-08-06T17:37:47,99922.75,70774.4
2026-08-06T17:40:47,99887.65,70774.4
2026-08-06T17:43:48,99865.05,70774.4
2026-08-06T17:46:48,99883.85,70774.4
2026-08-06T17:49:48,99866.88,70774.4
2026-08-06T17:52:48,99895.14,70774.4
2026-08-06T17:55:48,99911.28,70774.4
2026-08-06T17:58:49,99923.83,70774.4
2026-08-06T18:01:49,99910.59,70774.4
2026-08-06T18:04:49,99899.22,70774.4
2026-08-06T18:07:49,99903.98,70774.4
2026-08-06T18:10:50,99890.47,70774.4
2026-08-06T18:13:50,99885.64,75680.45
2026-08-06T18:16:51,99934.57,70686.69
2026-08-06T18:19:51,99947.79,70686.69
2026-08-06T18:22:51,99979.25,70686.69
2026-08-06T18:25:51,99964.76,70686.69
2026-08-06T18:28:52,99956.09,70686.69
2026-08-06T18:31:52,99962.42,70686.69
2026-08-06T18:34:52,99932.08,70686.69
2026-08-06T18:37:53,99929.41,70686.69
2026-08-06T18:40:53,99920.55,70686.69
2026-08-06T18:43:53,99914.05,70686.69
2026-08-06T18:46:54,99930.81,70686.69
2026-08-06T18:49:54,99905.89,70686.69
2026-08-06T18:52:54,99912.86,70686.69
2026-08-06T18:55:54,99918.85,70686.69
2026-08-06T18:58:54,99923.24,70686.69
2026-08-06T19:01:55,99949.74,70686.69
2026-08-06T19:04:55,99977.86,70686.69
2026-08-06T19:07:55,99965.71,70686.69
2026-08-06T19:10:55,99974.76,70686.69
2026-08-06T19:13:55,99955.25,70686.69
2026-08-06T19:16:56,99926.77,70686.69
2026-08-06T19:19:56,99921.15,70686.69
2026-08-06T19:22:56,99947.0,70686.69
2026-08-06T19:25:56,99912.97,70686.69
2026-08-06T19:28:56,99913.87,70686.69
2026-08-06T19:31:57,99931.71,70686.69
2026-08-06T19:34:57,99938.36,70686.69
2026-08-06T19:37:57,99921.49,70686.69
2026-08-06T19:40:57,99899.92,70686.69
2026-08-06T19:43:58,99876.41,70686.69
2026-08-06T19:46:59,99874.21,75526.89
2026-08-06T19:49:59,99865.76,70544.78
2026-08-06T19:52:59,99877.6,70544.78
2026-08-06T19:55:59,99900.33,70544.78
2026-08-06T19:59:00,99927.45,70544.78
